Idx	myDate	Value	SMA	Distance	Account	Trend
416	2001-08-06	0,00	0,00	0,0000	0,00	0
417	2001-08-07	0,00	0,00	0,0000	0,00	0
418	2001-08-08	0,00	0,00	0,0000	0,00	0
419	2001-08-09	0,00	0,00	0,0000	0,00	0
420	2001-08-10	0,00	0,00	0,0000	0,00	0
421	2001-08-13	0,00	0,00	0,0000	0,00	0
422	2001-08-14	0,00	0,00	0,0000	0,00	0
423	2001-08-15	0,00	0,00	0,0000	0,00	0
424	2001-08-16	0,00	0,00	0,0000	0,00	0
425	2001-08-17	0,00	0,00	0,0000	0,00	0
426	2001-08-20	0,00	0,00	0,0000	0,00	0
427	2001-08-21	0,00	0,00	0,0000	0,00	0
428	2001-08-22	0,00	0,00	0,0000	0,00	0
429	2001-08-23	0,00	0,00	0,0000	0,00	0
430	2001-08-24	0,00	0,00	0,0000	0,00	0
431	2001-08-27	0,00	0,00	0,0000	0,00	0
432	2001-08-28	0,00	0,00	0,0000	0,00	0
433	2001-08-29	0,00	0,00	0,0000	0,00	0
434	2001-08-30	0,00	0,00	0,0000	0,00	0
435	2001-08-31	0,00	0,00	0,0000	0,00	0
436	2001-09-03	0,00	0,00	0,0000	0,00	0
437	2001-09-04	0,00	0,00	0,0000	0,00	0
438	2001-09-05	0,00	0,00	0,0000	0,00	0
439	2001-09-06	0,00	0,00	0,0000	0,00	0
440	2001-09-07	0,00	0,00	0,0000	0,00	0
441	2001-09-10	0,00	0,00	0,0000	0,00	0
442	2001-09-11	0,00	0,00	0,0000	0,00	0
443	2001-09-12	0,00	0,00	0,0000	0,00	0
444	2001-09-13	0,00	0,00	0,0000	0,00	0
445	2001-09-14	0,00	0,00	0,0000	0,00	0
446	2001-09-17	0,00	0,00	0,0000	0,00	0
447	2001-09-18	0,00	0,00	0,0000	0,00	0
448	2001-09-19	0,00	0,00	0,0000	0,00	0
449	2001-09-20	0,00	0,00	0,0000	0,00	0
450	2001-09-21	0,00	0,00	0,0000	0,00	0
451	2001-09-24	0,00	0,00	0,0000	0,00	0
452	2001-09-25	0,00	0,00	0,0000	0,00	0
453	2001-09-26	0,00	0,00	0,0000	0,00	0
454	2001-09-27	0,00	0,00	0,0000	0,00	0
455	2001-09-28	0,00	0,00	0,0000	0,00	0
456	2001-10-01	0,00	0,00	0,0000	0,00	0
457	2001-10-02	0,00	0,00	0,0000	0,00	0
458	2001-10-03	0,00	0,00	0,0000	0,00	0
459	2001-10-04	0,00	0,00	0,0000	0,00	0
460	2001-10-05	0,00	0,00	0,0000	0,00	0
461	2001-10-08	0,00	0,00	0,0000	0,00	0
462	2001-10-09	0,00	0,00	0,0000	0,00	0
463	2001-10-10	0,00	0,00	0,0000	0,00	0
464	2001-10-11	0,00	0,00	0,0000	0,00	0
465	2001-10-12	0,00	0,00	0,0000	0,00	0
466	2001-10-15	0,00	0,00	0,0000	0,00	0
467	2001-10-16	0,00	0,00	0,0000	0,00	0
468	2001-10-17	0,00	0,00	0,0000	0,00	0
469	2001-10-18	0,00	0,00	0,0000	0,00	0
470	2001-10-19	0,00	0,00	0,0000	0,00	0
471	2001-10-22	0,00	0,00	0,0000	0,00	0
472	2001-10-23	0,00	0,00	0,0000	0,00	0
473	2001-10-24	0,00	0,00	0,0000	0,00	0
474	2001-10-25	0,00	0,00	0,0000	0,00	0
475	2001-10-26	0,00	0,00	0,0000	0,00	0
476	2001-10-29	0,00	0,00	0,0000	0,00	0
477	2001-10-30	0,00	0,00	0,0000	0,00	0
478	2001-10-31	0,00	0,00	0,0000	0,00	0
479	2001-11-01	0,00	0,00	0,0000	0,00	0
480	2001-11-02	0,00	0,00	0,0000	0,00	0
481	2001-11-05	0,00	0,00	0,0000	0,00	0
482	2001-11-06	0,00	0,00	0,0000	0,00	0
483	2001-11-07	0,00	0,00	0,0000	0,00	0
484	2001-11-08	0,00	0,00	0,0000	0,00	0
485	2001-11-09	0,00	0,00	0,0000	0,00	0
486	2001-11-12	0,00	0,00	0,0000	0,00	0
487	2001-11-13	0,00	0,00	0,0000	0,00	0
488	2001-11-14	0,00	0,00	0,0000	0,00	0
